Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code
6243-OZGFH,Female,47,No,0,Vista,92084
2984-RGEYA,Female,38,Yes,0,Winnetka,91306
4664-NJCMS,Female,52,Yes,0,San Francisco,94133
5092-STPKP,Female,45,No,0,Platina,96076
5893-KCLGT,Female,56,No,2,Sunland,91040
7695-PKLCZ,Female,32,No,0,Salinas,93908
0657-DOGUM,Female,35,Yes,0,Rancho Cucamonga,91739
5126-RCXYW,Male,41,Yes,1,Alhambra,91803
8168-UQWWF,Female,48,No,2,Los Angeles,90042
6217-KDYWC,Male,58,No,0,Lomita,90717
1730-ZMAME,Female,74,No,0,Ontario,91762
4194-FJARJ,Female,22,Yes,3,Albany,94706
0876-WDUUZ,Female,62,No,0,Pine Grove,95665
3523-QRQLL,Female,22,Yes,0,Bieber,96009
6419-ZTTLE,Male,69,Yes,0,Yountville,94599
6917-IAYHD,Male,44,No,1,La Honda,94020
4102-OQUPX,Male,67,Yes,0,Sheep Ranch,95250
0336-KXKFK,Male,43,No,0,Santa Margarita,93453
0841-NULXI,Male,38,No,0,Stockton,95209
5382-TEMLV,Male,45,No,0,Lindsay,93247
1660-HSOOQ,Male,60,No,0,Santa Barbara,93105
6174-NRBTZ,Male,44,No,0,Murrieta,92563
4480-QQRHC,Female,72,No,0,Hydesville,95547
0537-QYZZN,Male,66,Yes,2,Petaluma,94952
6797-LNAQX,Male,34,Yes,0,Poway,92064
9840-DVNDC,Male,45,No,0,Lancaster,93536
5597-GLBUC,Female,48,No,0,Squaw Valley,93675
2115-BFTIW,Male,52,No,0,Clearlake Oaks,95423
5707-ORNDZ,Male,79,No,0,Yuba City,95993
4159-NAAIX,Female,24,No,0,Saratoga,95070
5609-IMCGG,Female,44,No,0,Suisun City,94585
7465-ZZRVX,Male,63,No,0,Ceres,95307
7321-ZNSLA,Male,58,Yes,3,Cottonwood,96022
8085-MSNLK,Female,21,Yes,0,San Jose,95124
8065-BVEPF,Male,80,No,0,Yorkville,95494
4183-MYFRB,Female,30,No,0,Los Angeles,90021
4193-IBKSW,Male,27,Yes,1,San Pedro,90731
1571-SAVHK,Male,20,No,0,Meadow Vista,95722
6128-DAFVY,Female,58,No,0,Willits,95490
1930-QPBVZ,Male,31,Yes,2,Laytonville,95454
8566-YPRGL,Female,57,No,0,Long Beach,90806
6789-HJBWG,Female,20,No,0,Livingston,95334
7921-BEPCI,Female,40,No,0,Rocklin,95765
9739-JLPQJ,Female,58,Yes,1,Long Beach,90822
0302-JOIVN,Female,47,Yes,0,San Diego,92109
7481-ATQQS,Female,76,No,0,Boulder Creek,95006
7998-WNZEM,Male,51,No,0,San Francisco,94131
4817-KEQSP,Female,43,Yes,2,Temecula,92592
5628-RKIFK,Female,76,No,0,Bloomington,92316
5173-WXOQV,Male,38,Yes,0,Dos Palos,93620
4081-DYXAV,Female,27,No,0,San Jose,95125
9586-JGQKH,Female,61,Yes,0,Cathedral City,92234
9506-UXUSK,Male,53,No,0,San Jose,95116
3807-XHCJH,Female,21,Yes,3,Fish Camp,93623
1707-HABPF,Female,65,No,0,Santa Barbara,93103
2230-XTUWL,Female,20,Yes,2,Madera,93637
3845-JHAMY,Female,48,Yes,3,Inverness,94937
2082-CEFLT,Male,31,No,0,San Diego,92109
2659-VXMWZ,Male,58,Yes,0,Newport Coast,92657
8746-BFOAJ,Male,79,No,0,Garden Grove,92845
1703-MGIAB,Female,53,No,0,Van Nuys,91406
2308-STERM,Female,58,No,0,Armona,93202
1379-FRVEB,Male,31,No,1,San Bernardino,92401
5353-WILCI,Female,51,No,0,Stockton,95206
0447-RXSGD,Male,39,No,0,Monterey,93940
9588-YRFHY,Male,19,No,0,Santee,92071
1143-NMNQJ,Female,39,No,0,Boulder Creek,95006
3325-FUYCG,Male,58,Yes,0,Five Points,93624
0455-XFASS,Female,61,Yes,2,Campbell,95008
2876-VBBBL,Female,64,No,0,Shaver Lake,93664
8591-TKMZH,Male,40,Yes,3,Claremont,91711
2538-OIMXF,Female,29,No,1,Cathedral City,92234
7799-DSEWS,Male,22,No,0,Hayward,94544
1386-ZIKUV,Male,42,No,0,Glenhaven,95443
0929-HYQEW,Male,20,No,0,Oakland,94601
3407-JMJQQ,Female,22,Yes,1,Oakhurst,93644
6445-TNRXS,Male,61,Yes,1,Richmond,94805
7020-OZKXZ,Female,65,No,0,Vista,92084
2560-QTSBS,Female,26,Yes,2,Pomona,91766
3039-MJSLN,Male,36,No,3,Cressey,95312
7299-GNVPL,Female,19,Yes,2,El Portal,95318
2811-POVEX,Female,74,Yes,3,Live Oak,95953
5003-OKNNK,Female,44,Yes,3,Hoopa,95546
8065-QBYTO,Female,68,No,0,Pomona,91768
1228-FZFRV,Male,37,Yes,0,Los Angeles,90007
9300-RENDD,Male,56,No,0,Cedar Glen,92321
9121-PHQSR,Male,69,Yes,0,Stratford,93266
9097-ZUBYC,Male,39,Yes,0,North San Juan,95960
7622-NXQZR,Male,29,No,0,Canoga Park,91304
0816-TSPHQ,Male,35,No,0,Kettleman City,93239
0440-MOGPM,Female,51,No,0,Petaluma,94954
4641-FROLU,Female,49,Yes,1,La Honda,94020
5919-VCZYM,Male,19,No,0,Santa Ana,92707
9046-DQMTP,Male,49,No,0,Kyburz,95720
0263-FJTQO,Male,53,Yes,2,Rescue,95672
8079-XRJRS,Male,39,Yes,0,Pleasant Grove,95668
6664-FPDAC,Female,77,No,0,San Diego,92115
9061-TIHDA,Male,67,Yes,0,Murrieta,92563
9681-KYGYB,Male,75,Yes,0,Kelseyville,95451
3669-WHAFY,Female,57,Yes,0,Whittier,90604
2146-EGVDT,Male,33,Yes,0,Chatsworth,91311
4683-WYDOU,Male,54,Yes,0,Rancho Palos Verdes,90275
9058-CBREO,Female,69,No,0,Winton,95388
6732-VAILE,Male,33,Yes,0,Montclair,91763
6899-PPEEA,Female,66,No,0,Vallejo,94590
7658-UYUQS,Male,71,Yes,0,Fullerton,92835
8750-QWZAJ,Female,38,Yes,2,Orange,92867
9592-ERDKV,Male,43,Yes,0,Mc Farland,93250
8917-SZTTJ,Male,31,Yes,1,Los Angeles,90042
8165-CBKXO,Male,35,Yes,3,Los Angeles,90022
8999-XXGNS,Female,70,Yes,0,Healdsburg,95448
8821-XNHVZ,Female,53,Yes,0,San Diego,92109
5038-ETMLM,Female,35,Yes,0,Sacramento,95823
7054-ENNGU,Female,19,Yes,0,Benicia,94510
6877-TJMBR,Male,21,Yes,0,Orinda,94563
2853-CWQFQ,Male,20,No,1,Eureka,95503
4568-TTZRT,Male,36,No,0,Auburn,95602
7337-CINUD,Female,48,Yes,3,Mokelumne Hill,95245
2300-RQGOI,Female,33,No,0,Needles,92363
3441-CGZJH,Female,46,Yes,2,Lost Hills,93249
9513-DXHDA,Male,58,No,0,Auburn,95603
5696-JVVQY,Female,56,Yes,3,Davis,95616
1561-BWHIN,Male,33,Yes,1,Maywood,90270
2038-LLMLM,Female,35,No,0,El Centro,92243
5847-MXBEO,Male,42,No,0,Helm,93627
3511-BFTJW,Male,25,Yes,3,Glendora,91740
2569-WGERO,Female,30,No,0,Landers,92285
8514-VZHEB,Male,35,Yes,2,Travis Afb,94535
2400-XIWIO,Female,30,Yes,0,Lucerne,95458
9555-SAHUZ,Female,30,Yes,3,Kernville,93238
6339-TBELP,Male,53,No,0,Fillmore,93015
1508-DFXCU,Male,32,No,0,Riverside,92501
9477-LGWQI,Male,28,Yes,0,Darwin,93522
1444-VVSGW,Male,51,Yes,0,Los Molinos,96055
3703-KBKZP,Male,70,No,0,Standish,96128
4274-DRSQT,Female,33,No,0,Potrero,91963
0484-FFVBJ,Male,43,No,0,Fort Bragg,95437
6407-UTSLV,Female,76,No,0,Compton,90222
9659-QEQSY,Female,26,No,0,Los Angeles,90018
1866-OBPNR,Male,28,Yes,1,Sacramento,95833
9079-LWTFD,Male,50,No,0,Pioneertown,92268
6941-KXRRV,Female,65,Yes,0,Dorris,96023
6974-DAFLI,Female,54,Yes,0,Bakersfield,93312
2272-JKMSI,Female,42,Yes,3,Roseville,95661
2720-WGKHP,Male,65,No,0,Sloughhouse,95683
0484-JPBRU,Male,23,No,0,Petaluma,94954
8388-FYNPZ,Male,26,No,0,Pleasant Hill,94523
6599-RCLCJ,Male,54,Yes,0,Fallbrook,92028
6292-TOSSS,Male,64,No,0,Mt Baldy,91759
3429-IFLEM,Female,48,No,0,Hayward,94544
4962-CHQPW,Male,54,No,3,Greenville,95947
2080-CAZNM,Female,78,No,0,Burbank,91502
1265-ZFOSD,Female,33,Yes,0,Stonyford,95979
3373-DIUUN,Male,58,Yes,3,Hinkley,92347
8080-DDEMJ,Male,71,No,0,Glendale,91204
7632-MNYOY,Male,69,No,0,Tahoe Vista,96148
8138-EALND,Male,35,No,0,Laguna Hills,92653
2737-WFVYW,Female,28,No,0,Marina Del Rey,90292
9055-MOJJJ,Female,39,Yes,2,Douglas City,96024
2410-CIYFZ,Male,42,No,2,Woodland,95776
8874-EJNSR,Male,64,Yes,2,Salinas,93908
1360-RCYRT,Male,45,Yes,1,Forest Knolls,94933
5204-QZXPU,Male,50,No,0,Glendale,91205
7325-ENZFI,Female,37,No,0,Santa Cruz,95064
2550-AEVRU,Female,33,Yes,2,Woodland Hills,91364
9348-ROUAI,Female,50,Yes,2,Honeydew,95545
5219-YIPTK,Female,46,Yes,0,Trinidad,95570
7611-YKYTC,Male,50,Yes,2,Burson,95225
5183-KLYEM,Female,30,No,0,El Cerrito,94530
1958-RNRKS,Male,62,Yes,0,El Segundo,90245
4395-PZMSN,Male,67,No,0,San Gregorio,94074
9294-TDIPC,Male,59,No,1,San Diego,92110
4973-MGTON,Female,33,Yes,0,Topaz,96133
1936-CZAKF,Male,22,Yes,0,Graton,95444
1075-BGWOH,Male,69,Yes,0,Rosemead,91770
5153-LXKDT,Male,51,Yes,3,Danville,94506
2725-TTRIQ,Female,45,Yes,3,Menifee,92584
0376-YMCJC,Male,21,No,0,Novato,94949
0257-ZESQC,Female,80,Yes,0,Perris,92571
8990-ZXLSU,Female,63,No,0,Sun City,92586
9972-VAFJJ,Female,77,Yes,0,San Diego,92116
6345-FZOQH,Male,40,Yes,0,La Canada Flintridge,91011
3904-UKFRE,Male,27,No,0,Stockton,95205
2091-RFFBA,Female,70,No,0,Port Costa,94569
1100-DDVRV,Male,27,Yes,0,Twain Harte,95383
6904-JLBGY,Female,78,No,0,Salinas,93905
2777-PHDEI,Female,20,No,0,Ahwahnee,93601
3055-VTCGS,Female,35,No,0,Whittier,90605
6260-XLACS,Male,49,No,0,Casmalia,93429
7971-HLVXI,Male,62,Yes,2,San Bernardino,92404
5939-SXWHM,Male,59,Yes,3,Millville,96062
3589-PPVKW,Male,19,No,0,Pomona,91766
1725-MIMXW,Male,42,No,0,Honeydew,95545
0519-XUZJU,Female,56,No,0,Felton,95018
2874-YXVVA,Female,38,No,0,Herlong,96113
5067-XJQFU,Male,77,Yes,0,Los Angeles,90067
9961-JBNMK,Male,79,No,0,Desert Center,92239
9625-QNLUX,Male,51,Yes,2,San Jose,95138
3372-KWFBM,Male,76,No,0,Bayside,95524
2884-GBPFB,Female,61,Yes,0,Morro Bay,93442
9763-GRSKD,Male,37,Yes,2,Los Angeles,90012
4737-HOBAX,Male,51,Yes,0,Penngrove,94951
6754-LZUKA,Male,29,Yes,0,Escondido,92027
6416-JNVRK,Female,50,No,0,Gardena,90248
0186-CAERR,Male,22,No,0,Auburn,95603
2172-EJXVF,Female,65,No,0,Los Angeles,90047
0508-SQWPL,Female,32,Yes,3,La Mesa,91941
6994-FGRHH,Male,37,Yes,3,Meadow Vista,95722
5170-PTRKA,Female,19,Yes,0,Atherton,94027
0142-GVYSN,Male,57,No,0,Randsburg,93554
1678-FYZOW,Female,28,No,0,Sacramento,95835
6047-SUHPR,Male,60,Yes,2,Woodlake,93286
3249-ZPQRG,Male,28,No,0,Diamond Springs,95619
5684-FJVYR,Female,41,Yes,0,Lake Hughes,93532
0270-THENM,Male,62,Yes,2,Mission Hills,91345
2792-VPPET,Male,28,No,0,San Gabriel,91776
3066-RRJIO,Female,29,No,0,San Francisco,94132
1830-GGFNM,Male,35,Yes,2,Somerset,95684
0201-OAMXR,Female,30,No,0,Mckinleyville,95519
1915-OAKWD,Female,56,No,0,Belvedere Tiburon,94920
6425-JWTDV,Male,43,Yes,0,Boron,93516
8107-RZLNV,Male,22,Yes,0,South Gate,90280
8190-ZTQFB,Male,50,No,0,Bieber,96009
6394-HHHZM,Male,27,No,0,Little River,95456
9500-WBGRP,Male,19,No,0,Danville,94526
4759-PXTAN,Female,34,Yes,0,Potter Valley,95469
1409-PHXTF,Male,77,Yes,0,Lemon Grove,91945
1265-BCFEO,Female,30,Yes,0,Alamo,94507
8905-IAZPF,Female,32,Yes,0,Capistrano Beach,92624
7517-LDMPS,Female,31,No,0,Modesto,95356
2969-WGHQO,Female,39,Yes,3,Bradley,93426
4140-WJAWW,Female,57,No,0,Los Angeles,90071
6733-LRIZX,Male,42,No,0,Bodega Bay,94923
9926-PJHDQ,Female,45,Yes,0,Kingsburg,93631
5619-PTMIK,Female,25,Yes,0,Lemon Grove,91945
4828-FAZPK,Female,30,Yes,2,Inglewood,90301
8178-EYZUO,Male,48,No,0,San Francisco,94105
3167-SNQPL,Male,71,Yes,1,Pine Valley,91962
3566-CAAYU,Female,28,Yes,3,Cayucos,93430
2959-EEXWB,Female,54,Yes,2,Pasadena,91105
6418-PIQSP,Female,49,Yes,0,Perris,92570
7982-VCELR,Female,20,No,0,Ramona,92065
6844-DZKRF,Male,61,No,0,Irvine,92604
6680-NENYN,Female,24,No,0,San Diego,92122
9174-IHETN,Female,45,No,2,Goodyears Bar,95944
2546-KZAAT,Male,28,Yes,0,San Diego,92119
0244-LGNFY,Female,35,Yes,1,San Anselmo,94960
4163-NCJAK,Female,55,Yes,0,Palm Desert,92260
8908-NMQTX,Male,36,No,0,Walnut Creek,94595
5198-HQAEN,Male,50,Yes,3,Fremont,94538
2834-JRTUA,Male,30,No,0,Martinez,94553
9972-EWRJS,Female,56,Yes,1,Meadow Valley,95956
6854-EXGSF,Female,37,No,0,Mt Baldy,91759
4415-IJZTP,Female,33,No,0,Los Angeles,90027
6173-GOLSU,Male,79,Yes,0,Oak View,93022
7975-JMZNT,Male,19,Yes,0,Columbia,95310
3850-OKINF,Male,42,Yes,3,Pasadena,91106
6559-PDZLR,Male,26,No,0,Desert Center,92239
2927-QRRQV,Male,44,Yes,0,Scott Bar,96085
4018-KJYUY,Male,43,No,2,Courtland,95615
4201-JMNGR,Female,66,No,0,Lucerne Valley,92356
5549-ZGHFB,Male,33,Yes,1,Glendale,91205
4192-GORJT,Male,43,Yes,0,Fremont,94555
0463-WZZKO,Male,23,No,0,Van Nuys,91406
8337-MSSXB,Female,64,No,0,Trabuco Canyon,92679
0315-LVCRK,Male,54,No,0,El Dorado Hills,95762
7228-PAQPD,Female,19,No,0,Escondido,92027
3143-JQEGI,Female,52,Yes,0,San Diego,92126
7297-DVYGA,Female,61,No,0,West Covina,91790
7217-JYHOQ,Male,30,Yes,2,Burbank,91505
4919-MOAVT,Male,53,No,0,Pasadena,91103
5049-MUBWG,Male,24,No,0,Carmel By The Sea,93921
0334-ZFJSR,Female,41,Yes,0,San Diego,92123
3068-OMWZA,Male,77,No,0,Round Mountain,96084
7632-YUTXB,Female,52,Yes,2,Stinson Beach,94970
9518-XXBXE,Male,80,Yes,0,Patterson,95363
7880-XSOJX,Male,50,No,0,Garden Grove,92840
1202-KKGFU,Female,24,Yes,0,Korbel,95550
5921-NGYRH,Male,40,Yes,0,Stonyford,95979
9402-CXWPL,Female,25,No,0,Birds Landing,94512
1814-DKOLC,Female,63,No,0,Loma Linda,92354
6695-FRVEC,Male,60,Yes,0,Burbank,91506
6032-IGALN,Female,35,No,0,Granite Bay,95746
4277-BWBML,Male,48,Yes,2,Three Rivers,93271
9754-CLVZW,Female,40,Yes,3,Marysville,95901
7711-GQBZC,Female,42,Yes,1,Stockton,95207
9691-HKOVS,Female,20,Yes,0,San Jose,95125
0480-BIXDE,Female,58,Yes,0,Beale Afb,95903
7968-QUXNS,Male,24,No,0,Dobbins,95935
1307-TVUFB,Male,66,No,0,Santa Ynez,93460
6476-YHMGA,Female,63,Yes,1,Benton,93512
1855-AGAWH,Male,27,Yes,0,Bell,90201
6507-DTJZV,Male,50,No,1,Cardiff By The Sea,92007
5071-FBJFS,Female,61,Yes,1,Redding,96001
2205-YMZZJ,Male,75,No,0,Clovis,93612
4720-VSTSI,Female,54,No,0,Monterey Park,91754
5766-FTRTS,Male,35,Yes,0,El Segundo,90245
4765-OXPPD,Female,20,Yes,0,Ventura,93003
7029-RPUAV,Male,74,Yes,0,Los Gatos,95030
2840-XANRC,Male,77,Yes,0,San Diego,92122
9058-MJLZC,Female,37,No,0,Yuba City,95991
1051-GEJLJ,Female,19,No,0,San Gregorio,94074
0064-YIJGF,Male,60,Yes,3,Yermo,92398
2885-HIJDH,Male,47,Yes,3,Tecate,91980
3439-GVUSX,Male,45,No,0,Lookout,96054
3253-HKOKL,Female,31,Yes,2,Elk Grove,95758
7997-EASSD,Female,56,Yes,0,Redwood City,94061
3498-LZGQZ,Male,59,Yes,3,Walnut Grove,95690
1205-WNWPJ,Female,54,No,0,Lakehead,96051
6164-HXUGH,Female,40,Yes,1,Raymond,93653
3007-FDPEA,Female,28,No,0,Fallbrook,92028
5641-DMBFJ,Female,29,Yes,0,Oregon House,95962
8039-ACLPL,Female,29,Yes,0,Mather,95655
8086-OVPWV,Male,58,No,0,San Diego,92117
1840-BIUOG,Male,23,No,0,Hayward,94545
6651-AZVTJ,Male,27,Yes,0,Pomona,91768
0319-QZTCO,Female,25,Yes,2,Santa Rosa,95401
5168-MQQCA,Female,50,Yes,0,Yucaipa,92399
7017-VFULY,Female,38,Yes,0,Chatsworth,91311
2267-FPIMA,Male,27,Yes,0,San Carlos,94070
4829-ZLJTK,Female,80,Yes,0,Penngrove,94951
7909-FIOIY,Female,21,Yes,1,Santa Clara,95051
9447-YPTBX,Female,30,Yes,0,Alhambra,91801
2931-FSOHN,Male,76,No,0,Napa,94559
7995-ZHHNZ,Male,56,Yes,0,Fullerton,92832
0654-PQKDW,Female,58,Yes,2,Pescadero,94060
9436-ZBZCT,Male,40,No,0,Inglewood,90303
7825-GKXMW,Female,41,No,0,San Diego,92121
6551-ZCOTS,Male,73,No,0,Torrance,90503
1345-GKDZZ,Male,20,No,1,Riverside,92507
9821-POOTN,Male,48,Yes,0,San Dimas,91773
5439-WIKXB,Male,65,Yes,0,Newhall,91321
4667-QONEA,Female,72,Yes,0,Los Angeles,90064
8809-RIHDD,Male,47,Yes,0,Sacramento,95827
3679-XASPY,Female,38,Yes,2,Inglewood,90305
7674-YTAFD,Female,64,No,0,North Hills,91343
7278-CKDNC,Male,76,No,0,Fresno,93701
8133-ANHHJ,Female,77,No,0,Ventura,93003
6979-ZNSFF,Female,48,No,0,Pollock Pines,95726
5977-CKHON,Female,59,Yes,3,Roseville,95678
5125-CNDSP,Male,48,No,0,Big Creek,93605
5014-WUQMG,Male,23,Yes,2,Hornbrook,96044
1552-CZCLL,Female,31,Yes,1,Descanso,91916
8347-GDTMP,Female,25,Yes,0,Ripon,95366
6815-ABQFQ,Male,53,Yes,0,Silverado,92676
3900-AQPHZ,Female,45,No,0,Pearblossom,93553
1140-UKVZG,Female,64,No,0,Farmersville,93223
6630-UJZMY,Female,73,Yes,0,Palo Alto,94306
5756-JYOJT,Female,55,No,0,Santa Ana,92706
5442-XSDCW,Male,61,Yes,0,San Diego,92130
4816-JBHOV,Male,72,No,0,Los Angeles,90044
7753-USQYQ,Male,47,No,0,West Covina,91792
6479-VDGRK,Female,46,Yes,1,Cardiff By The Sea,92007
7989-CHGTL,Male,52,No,0,San Diego,92122
1976-CFOCS,Female,69,Yes,0,Dana Point,92629
8262-COGGB,Male,53,No,0,Visalia,93277
6298-QDFNH,Male,48,No,0,Banning,92220
3466-BYAVD,Male,50,Yes,1,Long Beach,90802
2877-VDUER,Female,36,Yes,1,Camp Nelson,93208
4818-DRBQT,Male,29,Yes,0,Farmersville,93223
8100-PNJMH,Male,39,Yes,0,Glennville,93226
3522-CDKHF,Female,21,Yes,0,Stockton,95210
3842-QTGDL,Male,59,Yes,0,Walnut Creek,94595
1763-WQFUK,Male,45,No,0,Riverside,92503
3831-YCPUO,Female,38,Yes,1,Glencoe,95232
2996-XAUVF,Male,25,No,0,Needles,92363
3445-HXXGF,Male,66,Yes,0,Sierra Madre,91024
2951-QOQTK,Male,28,No,0,Sacramento,95815
5294-DMSFH,Female,32,Yes,2,Torrance,90503
8434-VGEQQ,Male,24,Yes,0,Guadalupe,93434
5144-PQCDZ,Male,55,No,0,Fairfield,94533
8205-MQUGY,Male,39,Yes,3,Sacramento,95834
0895-DQHEW,Male,47,Yes,0,Burney,96013
2946-KIQSP,Female,59,No,0,Fallbrook,92028
1640-PLFMP,Female,20,No,0,Los Angeles,90026
0746-JTRFU,Male,22,No,0,Kingsburg,93631
2223-KAGMX,Female,47,No,0,Santa Rosa,95409
9957-YODKZ,Male,75,Yes,0,Canby,96015
3224-DFQNQ,Female,59,Yes,0,Carmel Valley,93924
2521-NPUZR,Male,26,Yes,0,Santa Maria,93458
6563-VRERX,Male,63,Yes,0,San Diego,92121
2642-MAWLJ,Female,26,Yes,2,Menlo Park,94025
4957-TREIR,Male,37,No,0,Stratford,93266
4872-JCVCA,Female,44,Yes,0,Desert Hot Springs,92241
2550-QHZGP,Male,48,No,0,Calexico,92231
1428-IEDPR,Male,54,No,0,Sacramento,95816
9651-GTSAQ,Female,44,Yes,0,Corning,96021
3500-NSDOA,Male,35,Yes,0,Los Angeles,90008
0378-CJKPV,Female,56,Yes,0,Oak Park,91377
2402-TAIRZ,Female,48,No,0,Los Angeles,90012
9932-WBWIK,Male,43,No,0,Lake Isabella,93240
9909-IDLEK,Male,32,Yes,3,Malibu,90265
3096-IZETN,Female,32,No,0,Lomita,90717
9786-YWNHU,Female,62,Yes,2,Fontana,92336
6772-WFQRD,Male,58,No,3,Castella,96017
5724-BIDBU,Male,29,Yes,0,Penn Valley,95946
3351-NGXYI,Female,70,No,0,San Diego,92106
2040-LDIWQ,Male,51,Yes,0,Woodland Hills,91367
5854-KSRBJ,Male,31,Yes,1,San Clemente,92673
4472-VESGY,Female,41,Yes,1,Durham,95938
2057-ZBLPD,Female,50,Yes,0,Los Gatos,95032
3276-HDUEG,Female,23,No,0,Temecula,92592
5519-NPHVG,Female,53,No,0,Klamath River,96050
9350-VLHMB,Male,38,Yes,3,Volcano,95689
0203-HHYIJ,Male,62,No,0,Atherton,94027
2619-WFQWU,Female,34,No,0,Mission Viejo,92692
3219-JQRSL,Female,70,Yes,0,Monterey Park,91755
1320-HTRDR,Female,30,No,0,Fellows,93224
8623-TMRBY,Male,80,Yes,0,Chula Vista,91915
8466-PZBLH,Male,32,Yes,3,Descanso,91916
4822-YCXMX,Male,64,No,0,Fresno,93705
7089-IVVAZ,Female,26,No,0,Cantua Creek,93608
5244-IRFIH,Male,72,Yes,0,San Diego,92129
8167-GJLRN,Male,19,No,0,La Crescenta,91214
